Customer ID,Date,Conversion month,Feature month used,Product converted,Product converted name
CUST1000160,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1000778,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1000812,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1001610,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1002101,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1002828,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1002995,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1003601,2026-07-01,2026-07,2026-06,SA,Savings Account
CUST1003971,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1004189,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1004919,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1005187,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1005624,2026-07-01,2026-07,2026-06,RD,Recurring Deposit
CUST1005645,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1006395,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1006551,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1007604,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1008137,2026-07-01,2026-07,2026-06,SA,Savings Account
CUST1008211,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1008215,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1008228,2026-07-01,2026-07,2026-06,HL,Home Loan
CUST1008680,2026-07-01,2026-07,2026-06,RD,Recurring Deposit
CUST1009617,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1010439,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1010691,2026-07-01,2026-07,2026-06,RD,Recurring Deposit
CUST1011440,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1011658,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1011687,2026-07-01,2026-07,2026-06,RD,Recurring Deposit
CUST1011773,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1011805,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1011987,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1012385,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1012405,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1012459,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1012731,2026-07-01,2026-07,2026-06,CC,Credit Card
CUST1013262,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1013870,2026-07-01,2026-07,2026-06,PL,Personal Loan
CUST1014156,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1014485,2026-07-01,2026-07,2026-06,MF,Mutual Fund
CUST1000273,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1000473,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1000560,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1000694,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1000785,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1001160,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1001368,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1001606,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1001984,2026-07-02,2026-07,2026-06,HL,Home Loan
CUST1002554,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1003199,2026-07-02,2026-07,2026-06,HL,Home Loan
CUST1003343,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1003989,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1004245,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1004490,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1004504,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1004544,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1005011,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1005371,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1005652,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1005757,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1006062,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1006166,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1006575,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1006610,2026-07-02,2026-07,2026-06,HL,Home Loan
CUST1007054,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1007076,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1007499,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1008188,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1008282,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1008936,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1008993,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1009050,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1009571,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1010212,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1010407,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1010438,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1010631,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1011089,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1011207,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1011384,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1012175,2026-07-02,2026-07,2026-06,CC,Credit Card
CUST1012296,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1013001,2026-07-02,2026-07,2026-06,RD,Recurring Deposit
CUST1014061,2026-07-02,2026-07,2026-06,PL,Personal Loan
CUST1014475,2026-07-02,2026-07,2026-06,HL,Home Loan
CUST1014877,2026-07-02,2026-07,2026-06,MF,Mutual Fund
CUST1000370,2026-07-03,2026-07,2026-06,RD,Recurring Deposit
CUST1000432,2026-07-03,2026-07,2026-06,SA,Savings Account
CUST1001245,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1002245,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1003492,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1003533,2026-07-03,2026-07,2026-06,RD,Recurring Deposit
CUST1003536,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1003559,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1003579,2026-07-03,2026-07,2026-06,MF,Mutual Fund
CUST1004091,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1005664,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1006174,2026-07-03,2026-07,2026-06,HL,Home Loan
CUST1007063,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1007302,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1007574,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1008075,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1008776,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1009182,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1009417,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1009601,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1009796,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1010961,2026-07-03,2026-07,2026-06,MF,Mutual Fund
CUST1011047,2026-07-03,2026-07,2026-06,SA,Savings Account
CUST1011291,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1011556,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1013304,2026-07-03,2026-07,2026-06,HL,Home Loan
CUST1013383,2026-07-03,2026-07,2026-06,CC,Credit Card
CUST1014433,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1014452,2026-07-03,2026-07,2026-06,PL,Personal Loan
CUST1000480,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1000492,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1002212,2026-07-04,2026-07,2026-06,RD,Recurring Deposit
CUST1002638,2026-07-04,2026-07,2026-06,RD,Recurring Deposit
CUST1002905,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1003119,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1003130,2026-07-04,2026-07,2026-06,PL,Personal Loan
CUST1003164,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1004215,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1004654,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1004823,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1005262,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1005559,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1005793,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1006125,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1006153,2026-07-04,2026-07,2026-06,PL,Personal Loan
CUST1006641,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1006730,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1007001,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1007947,2026-07-04,2026-07,2026-06,PL,Personal Loan
CUST1008123,2026-07-04,2026-07,2026-06,PL,Personal Loan
CUST1008419,2026-07-04,2026-07,2026-06,RD,Recurring Deposit
CUST1008668,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1008869,2026-07-04,2026-07,2026-06,PL,Personal Loan
CUST1009207,2026-07-04,2026-07,2026-06,RD,Recurring Deposit
CUST1009365,2026-07-04,2026-07,2026-06,PL,Personal Loan
CUST1009900,2026-07-04,2026-07,2026-06,RD,Recurring Deposit
CUST1010339,2026-07-04,2026-07,2026-06,MF,Mutual Fund
CUST1010437,2026-07-04,2026-07,2026-06,RD,Recurring Deposit
CUST1010950,2026-07-04,2026-07,2026-06,PL,Personal Loan
CUST1011373,2026-07-04,2026-07,2026-06,SA,Savings Account
CUST1011708,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1012196,2026-07-04,2026-07,2026-06,HL,Home Loan
CUST1012361,2026-07-04,2026-07,2026-06,CC,Credit Card
CUST1013185,2026-07-04,2026-07,2026-06,PL,Personal Loan
