CustID,Date of login,Days since last login (sn),Location,App details,Phone/device details,Login count 30D (sn),Login count 90D (sn),Last app version (sn),Preferred login hour (sn),Device OS (sn),Session ID latest (sn)
CUST1000000,2026-04-21,70,Jaipur,Axis Mobile/Open App v11.4.0,iPhone 14,6,12,11.4.0,17,iOS,SID50000000
CUST1000001,2026-06-22,8,Bengaluru,Axis Mobile/Open App v11.4.0,Samsung Galaxy S23,14,71,11.4.0,23,Android,SID50000001
CUST1000002,2026-04-21,70,Hyderabad,Axis Mobile/Open App v11.2.0,iPhone 14,3,3,11.2.0,18,iOS,SID50000002
CUST1000003,2026-05-30,31,Mumbai,Axis Mobile/Open App v11.4.0,iPhone 13,3,13,11.4.0,8,iOS,SID50000003
CUST1000004,2026-05-26,35,Bhopal,Axis Mobile/Open App v12.1.2,iPhone 13,0,0,12.1.2,18,iOS,SID50000004
CUST1000005,2026-04-17,74,Pune,Axis Mobile/Open App v11.3.1,Samsung Galaxy S23,4,27,11.3.1,15,Android,SID50000005
CUST1000006,2026-03-28,94,Surat,Axis Mobile/Open App v11.2.0,Redmi Note 12,0,0,11.2.0,11,Android,SID50000006
CUST1000007,2026-05-14,47,Ahmedabad,Axis Mobile/Open App v12.1.2,OnePlus 11,6,17,12.1.2,19,Android,SID50000007
CUST1000008,2026-05-31,30,Bengaluru,Axis Mobile/Open App v11.2.0,Vivo V27,20,47,11.2.0,17,Android,SID50000008
CUST1000009,2026-06-24,6,Bengaluru,Axis Mobile/Open App v12.1.2,Samsung Galaxy A54,19,32,12.1.2,22,Android,SID50000009
CUST1000010,2026-06-26,4,Bengaluru,Axis Mobile/Open App v12.0.0,Samsung Galaxy A54,18,45,12.0.0,17,Android,SID50000010
CUST1000011,2026-06-28,2,Chennai,Axis Mobile/Open App v12.1.2,Redmi Note 12,17,50,12.1.2,23,Android,SID50000011
CUST1000012,2026-01-01,180,Lucknow,Axis Mobile/Open App v11.2.0,iPhone 14,5,16,11.2.0,18,iOS,SID50000012
CUST1000013,2026-06-26,4,Indore,Axis Mobile/Open App v12.0.0,OnePlus 11,0,11,12.0.0,14,Android,SID50000013
