Customer ID,PL_P,CC_P,HL_P,SA_P,RD_P,MF_P,Month period
CUST1000000,0.3422,0.4409,0.4625,0.066,0.2709,0.5316,2026-06
CUST1000001,0.4583,0.6781,0.6991000000000001,0.1214,0.2605,0.4336,2026-06
CUST1000002,0.2397,0.436,0.1062,0.0881,0.4587,0.4043,2026-06
CUST1000003,0.3544,0.3861,0.4846,0.3576,0.3138,0.5139,2026-06
CUST1000004,0.4286,0.1309,0.1411,0.1482,0.0417,0.2793,2026-06
CUST1000005,0.2991,0.5185,0.0668,0.0573,0.382,0.1292,2026-06
CUST1000006,0.2308,0.3014,0.4339,0.2226,0.3161,0.451,2026-06
CUST1000007,0.4332,0.5197000000000001,0.2735,0.0548,0.4341,0.0604,2026-06
CUST1000008,0.0876,0.3319,0.01,0.59,0.0372,0.1218,2026-06
CUST1000009,0.4735,0.6061,0.1291,0.2418,0.2233,0.1453,2026-06
CUST1000010,0.3805,0.6834,0.2491,0.0653,0.4197,0.4766,2026-06
CUST1000011,0.2666,0.6271,0.043,0.3337,0.3643,0.3618,2026-06
CUST1000012,0.2316,0.1079,0.2858,0.3098,0.2323,0.0614,2026-06
CUST1000013,0.1341,0.4104,0.3282,0.2182,0.5881,0.6167,2026-06
CUST1000014,0.5187,0.184,0.2025,0.1943,0.394,0.0654,2026-06
CUST1000015,0.3734,0.5114,0.4645,0.3546,0.2214,0.386,2026-06
CUST1000016,0.0602,0.1005,0.2181,0.659,0.3396,0.1615,2026-06
CUST1000017,0.3333,0.4802,0.4185,0.2825,0.3491,0.3024,2026-06
CUST1000018,0.3558,0.4213,0.4444,0.5343,0.3497,0.4411,2026-06
CUST1000019,0.4452,0.3565,0.4265,0.1771,0.3791,0.1899,2026-06
CUST1000020,0.5145,0.5259,0.2988,0.201,0.3778,0.3891,2026-06
CUST1000021,0.4762,0.1723,0.3011,0.1979,0.1679,0.1683,2026-06
CUST1000022,0.3682,0.2711,0.2621,0.168,0.3065,0.08989999999999999,2026-06
CUST1000023,0.2234,0.4255,0.3189,0.07779999999999999,0.2578,0.4772,2026-06
