CustID,Month period,Average ticket size,Count,99% value,Total credit amount (sn),Total debit amount (sn),UPI txn count (sn),Salary credit flag (sn),MCC diversity count (sn),High value txn flag (sn),Most common channel (sn),Most common MCC (sn),Days since last txn (sn),Avg monthly balance proxy (sn)
CUST1000000,2026-06,450520.02,10,44159.55,3257593.87,131361.82,5,Y,2,N,BRANCH,6011,2,4717820.51
CUST1000001,2026-06,26036.96,34,6640.01,474658.24,4842.36,5,Y,4,N,MOBILE_APP,5411,0,483522.96
CUST1000002,2026-06,413.78,0,0,0,0,0,N,0,N,,,999,1210569.94
CUST1000003,2026-06,70114.64,28,12138.13,989723.29,25049.68,7,Y,4,N,MOBILE_APP,0000,1,655329.55
CUST1000004,2026-06,500.77,22,530.28,2038.35,4351.88,0,N,3,N,BRANCH,4111,0,56682.6
CUST1000005,2026-06,2735.33,35,4509.81,19807.48,31700.99,7,N,3,N,ATM,0000,17,243235.82
CUST1000006,2026-06,8.91,0,0,0,0,0,N,0,N,,,999,116529.74
CUST1000007,2026-06,1752.14,16,1043.77,1119.96,12209.97,12,Y,4,N,BRANCH,4814,6,360663.36
CUST1000008,2026-06,551.47,10,238.46,0,1994.81,10,N,2,N,MOBILE_APP,7399,14,60853.96
CUST1000009,2026-06,848.41,42,1408.93,2507.62,15101.59,7,Y,6,N,BRANCH,6513,4,120424.25
CUST1000010,2026-06,2072.83,18,1667.42,9907.91,4579.99,6,N,3,N,MOBILE_APP,5812,1,232669.9
CUST1000011,2026-06,3768.11,29,6142.78,23143.66,21276.24,15,N,5,N,MOBILE_APP,5814,0,972528.85
CUST1000012,2026-06,1338.13,13,871.35,0,13703.79,4,N,3,N,MOBILE_APP,0000,0,273276.9
CUST1000013,2026-06,10077.14,46,20173.32,87887.7,76768.77,6,N,6,N,MOBILE_APP,7399,6,748505.49
CUST1000014,2026-06,1276.16,73,2126.4,7561.88,21665.2,24,Y,8,N,UPI,6011,1,196803.03
CUST1000015,2026-06,1929.75,27,1008.42,0,28108.13,16,N,3,N,UPI,5814,11,303480.14
CUST1000016,2026-06,3602.22,38,8684.43,10910.77,94918.09,20,N,6,N,MOBILE_APP,4814,0,181100.75
