Customer ID,Month period,product_code,click_count,avg_funnel_depth,max_funnel_depth,total_time_on_page_seconds,cta_click_count,application_started_count,booking_completed_count,product_shown_before_count
CUST1000000,2026-06,MF,1,2.0,2,146,1,0,0,0
CUST1000001,2026-06,HL,1,4.0,4,133,1,1,0,0
CUST1000002,2026-06,PL,1,3.0,3,81,1,1,0,0
CUST1000002,2026-06,RD,1,3.0,3,387,1,1,0,1
CUST1000003,2026-06,HL,1,3.0,3,409,1,1,0,0
CUST1000003,2026-06,MF,2,2.0,3,259,1,1,0,0
CUST1000004,2026-06,MF,1,1.0,1,208,0,0,0,1
CUST1000004,2026-06,PL,2,3.0,4,738,2,1,0,0
CUST1000005,2026-06,RD,1,1.0,1,285,0,0,0,0
CUST1000006,2026-06,MF,1,3.0,3,395,1,1,0,1
CUST1000007,2026-06,HL,1,2.0,2,186,1,0,0,0
CUST1000008,2026-06,CC,1,2.0,2,27,1,0,0,0
CUST1000008,2026-06,RD,1,1.0,1,236,0,0,0,0
CUST1000009,2026-06,CC,1,4.0,4,354,1,1,0,0
CUST1000009,2026-06,PL,1,2.0,2,257,1,0,0,0
CUST1000009,2026-06,RD,1,4.0,4,426,1,1,0,1
CUST1000009,2026-06,SA,1,2.0,2,349,1,0,0,1
CUST1000010,2026-06,SA,1,2.0,2,226,1,0,0,0
CUST1000012,2026-06,HL,1,2.0,2,69,1,0,0,0
CUST1000013,2026-06,CC,1,2.0,2,331,1,0,0,0
CUST1000013,2026-06,HL,1,1.0,1,242,0,0,0,0
CUST1000014,2026-06,HL,1,3.0,3,286,1,1,0,1
CUST1000014,2026-06,PL,1,5.0,5,364,1,1,0,0
CUST1000014,2026-06,RD,1,3.0,3,226,1,1,0,0
CUST1000015,2026-06,MF,1,3.0,3,116,1,1,0,1
CUST1000016,2026-06,PL,1,1.0,1,86,0,0,0,1
CUST1000017,2026-06,CC,1,4.0,4,433,1,1,0,0
CUST1000017,2026-06,HL,1,4.0,4,250,1,1,0,0
CUST1000017,2026-06,SA,1,3.0,3,259,1,1,0,1
CUST1000019,2026-06,CC,1,3.0,3,376,1,1,0,1
CUST1000019,2026-06,HL,1,2.0,2,292,1,0,0,0
CUST1000019,2026-06,PL,1,3.0,3,301,1,1,0,1
CUST1000020,2026-06,CC,1,5.0,5,571,1,1,0,0
CUST1000020,2026-06,RD,1,1.0,1,247,0,0,0,0
CUST1000021,2026-06,MF,1,2.0,2,405,1,0,0,0
CUST1000021,2026-06,PL,1,3.0,3,398,1,1,0,0
CUST1000021,2026-06,RD,1,2.0,2,322,1,0,0,0
CUST1000022,2026-06,CC,1,2.0,2,97,1,0,0,0
CUST1000022,2026-06,HL,1,1.0,1,144,0,0,0,0
CUST1000022,2026-06,SA,1,1.0,1,79,0,0,0,1
CUST1000023,2026-06,CC,1,2.0,2,153,1,0,0,0
CUST1000024,2026-06,CC,1,5.0,5,396,1,1,0,0
CUST1000024,2026-06,MF,1,1.0,1,219,0,0,0,0
CUST1000025,2026-06,CC,1,2.0,2,194,1,0,0,0
CUST1000025,2026-06,MF,1,3.0,3,177,1,1,0,0
CUST1000028,2026-06,HL,3,2.6666666666666665,4,808,3,1,0,0
CUST1000029,2026-06,CC,1,5.0,5,374,1,1,0,0
CUST1000030,2026-06,MF,1,2.0,2,134,1,0,0,1
CUST1000030,2026-06,PL,1,1.0,1,29,0,0,0,1
CUST1000031,2026-06,MF,1,4.0,4,378,1,1,0,0
CUST1000032,2026-06,MF,1,2.0,2,349,1,0,0,1
CUST1000033,2026-06,CC,1,2.0,2,355,1,0,0,0
CUST1000033,2026-06,MF,1,3.0,3,162,1,1,0,0
CUST1000035,2026-06,CC,2,3.0,4,354,2,1,0,0
CUST1000035,2026-06,MF,2,3.5,4,311,2,2,0,0
CUST1000035,2026-06,PL,1,4.0,4,268,1,1,0,0
CUST1000037,2026-06,MF,1,1.0,1,113,0,0,0,0
CUST1000038,2026-06,HL,1,2.0,2,428,1,0,0,1
CUST1000039,2026-06,CC,1,5.0,5,537,1,1,0,0
CUST1000039,2026-06,PL,1,3.0,3,234,1,1,0,0
CUST1000040,2026-06,MF,1,1.0,1,25,0,0,0,0
CUST1000040,2026-06,PL,1,4.0,4,238,1,1,0,0
CUST1000040,2026-06,RD,1,2.0,2,374,1,0,0,1
CUST1000040,2026-06,SA,1,1.0,1,115,0,0,0,0
CUST1000041,2026-06,SA,2,5.0,5,677,2,2,0,2
CUST1000042,2026-06,MF,1,3.0,3,225,1,1,0,0
CUST1000042,2026-06,PL,1,2.0,2,89,1,0,0,0
CUST1000044,2026-06,SA,1,1.0,1,223,0,0,0,1
CUST1000045,2026-06,RD,3,4.0,5,1209,3,3,0,3
CUST1000046,2026-06,CC,1,3.0,3,328,1,1,0,0
CUST1000046,2026-06,SA,1,4.0,4,389,1,1,0,0
CUST1000048,2026-06,MF,1,5.0,5,440,1,1,0,1
CUST1000049,2026-06,MF,2,3.5,5,584,2,1,0,0
CUST1000050,2026-06,HL,1,3.0,3,235,1,1,0,1
CUST1000051,2026-06,CC,2,3.5,4,415,2,2,0,2
CUST1000051,2026-06,PL,1,3.0,3,299,1,1,0,1
CUST1000051,2026-06,RD,1,3.0,3,237,1,1,0,0
CUST1000053,2026-06,CC,3,3.0,4,620,3,2,0,1
CUST1000053,2026-06,PL,1,3.0,3,317,1,1,0,0
CUST1000053,2026-06,RD,1,2.0,2,343,1,0,0,1
CUST1000055,2026-06,CC,1,3.0,3,288,1,1,0,0
CUST1000056,2026-06,RD,1,3.0,3,169,1,1,0,0
CUST1000056,2026-06,SA,1,1.0,1,346,0,0,0,0
CUST1000057,2026-06,CC,2,2.0,2,539,2,0,0,2
CUST1000057,2026-06,PL,1,1.0,1,214,0,0,0,0
CUST1000058,2026-06,CC,1,3.0,3,309,1,1,0,0
CUST1000059,2026-06,MF,1,2.0,2,294,1,0,0,0
CUST1000059,2026-06,PL,1,2.0,2,207,1,0,0,1
CUST1000059,2026-06,RD,2,3.5,4,747,2,2,0,0
CUST1000059,2026-06,SA,1,1.0,1,286,0,0,0,0
CUST1000060,2026-06,MF,1,2.0,2,257,1,0,0,0
CUST1000061,2026-06,HL,1,3.0,3,56,1,1,0,1
CUST1000063,2026-06,CC,1,3.0,3,207,1,1,0,0
CUST1000063,2026-06,HL,1,1.0,1,337,1,0,0,1
CUST1000065,2026-06,HL,1,1.0,1,97,0,0,0,1
CUST1000065,2026-06,MF,2,5.5,6,1085,2,2,0,2
CUST1000065,2026-06,PL,1,2.0,2,184,1,0,0,0
