Customer ID,Month period,propensity_score,product_code
CUST1000000,2026-06,0.3422,PL
CUST1000001,2026-06,0.4583,PL
CUST1000002,2026-06,0.2397,PL
CUST1000003,2026-06,0.3544,PL
CUST1000004,2026-06,0.4286,PL
CUST1000005,2026-06,0.2991,PL
CUST1000006,2026-06,0.2308,PL
CUST1000007,2026-06,0.4332,PL
CUST1000008,2026-06,0.0876,PL
CUST1000009,2026-06,0.4735,PL
CUST1000010,2026-06,0.3805,PL
CUST1000011,2026-06,0.2666,PL
CUST1000012,2026-06,0.2316,PL
CUST1000013,2026-06,0.1341,PL
CUST1000014,2026-06,0.5187,PL
CUST1000015,2026-06,0.3734,PL
CUST1000016,2026-06,0.0602,PL
CUST1000017,2026-06,0.3333,PL
CUST1000018,2026-06,0.3558,PL
CUST1000019,2026-06,0.4452,PL
CUST1000020,2026-06,0.5145,PL
CUST1000021,2026-06,0.4762,PL
CUST1000022,2026-06,0.3682,PL
CUST1000023,2026-06,0.2234,PL
CUST1000024,2026-06,0.0332,PL
CUST1000025,2026-06,0.492,PL
CUST1000026,2026-06,0.3451,PL
CUST1000027,2026-06,0.1935,PL
CUST1000028,2026-06,0.3184,PL
CUST1000029,2026-06,0.2991,PL
CUST1000030,2026-06,0.2929,PL
CUST1000031,2026-06,0.5312,PL
CUST1000032,2026-06,0.3968,PL
CUST1000033,2026-06,0.2771,PL
CUST1000034,2026-06,0.2877,PL
CUST1000035,2026-06,0.4607,PL
CUST1000036,2026-06,0.2876,PL
CUST1000037,2026-06,0.2095,PL
CUST1000038,2026-06,0.2493,PL
CUST1000039,2026-06,0.3786,PL
CUST1000040,2026-06,0.4964,PL
CUST1000041,2026-06,0.4338,PL
CUST1000042,2026-06,0.4926,PL
CUST1000043,2026-06,0.3456,PL
CUST1000044,2026-06,0.4045,PL
CUST1000045,2026-06,0.5862,PL
CUST1000046,2026-06,0.1728,PL
CUST1000047,2026-06,0.3387,PL
CUST1000048,2026-06,0.3156,PL
CUST1000049,2026-06,0.5394,PL
CUST1000050,2026-06,0.2948,PL
CUST1000051,2026-06,0.4312,PL
CUST1000052,2026-06,0.4668,PL
CUST1000053,2026-06,0.4909,PL
CUST1000054,2026-06,0.015,PL
CUST1000055,2026-06,0.2271,PL
CUST1000056,2026-06,0.4033,PL
CUST1000057,2026-06,0.5625,PL
