Customer ID,Month period,target_product,rank,target_score,model
CUST1000000,2026-06,MF,1,0.5316,propensity_only
CUST1000002,2026-06,SA,4,0.0881,propensity_only
CUST1000003,2026-06,PL,2,0.3544,propensity_only
CUST1000005,2026-06,SA,4,0.0573,propensity_only
CUST1000009,2026-06,CC,1,0.6061,propensity_only
CUST1000010,2026-06,MF,2,0.4766,propensity_only
CUST1000011,2026-06,HL,4,0.043,propensity_only
CUST1000012,2026-06,MF,5,0.0614,propensity_only
CUST1000014,2026-06,SA,4,0.1943,propensity_only
CUST1000017,2026-06,SA,4,0.2825,propensity_only
CUST1000020,2026-06,RD,4,0.3778,propensity_only
CUST1000023,2026-06,SA,5,0.0777999999999999,propensity_only
CUST1000025,2026-06,CC,1,0.6452,propensity_only
CUST1000027,2026-06,SA,5,0.0832,propensity_only
CUST1000028,2026-06,CC,1,0.5583,propensity_only
CUST1000029,2026-06,CC,1,0.6546,propensity_only
CUST1000030,2026-06,PL,4,0.2929,propensity_only
CUST1000031,2026-06,HL,3,0.3516,propensity_only
CUST1000036,2026-06,RD,4,0.2282,propensity_only
CUST1000037,2026-06,SA,1,0.2722,propensity_only
CUST1000040,2026-06,MF,1,0.5287,propensity_only
CUST1000041,2026-06,SA,3,0.2436,propensity_only
CUST1000042,2026-06,SA,5,0.2151,propensity_only
CUST1000044,2026-06,CC,4,0.3589,propensity_only
CUST1000045,2026-06,SA,4,0.2145,propensity_only
CUST1000046,2026-06,RD,4,0.1339,propensity_only
CUST1000047,2026-06,CC,3,0.412,propensity_only
CUST1000048,2026-06,SA,4,0.1694,propensity_only
CUST1000050,2026-06,CC,3,0.2513,propensity_only
CUST1000051,2026-06,RD,4,0.1909,propensity_only
CUST1000053,2026-06,SA,3,0.1579,propensity_only
CUST1000054,2026-06,SA,2,0.1441,propensity_only
CUST1000055,2026-06,MF,4,0.3831,propensity_only
CUST1000056,2026-06,CC,2,0.4116,propensity_only
CUST1000058,2026-06,MF,4,0.3835,propensity_only
CUST1000059,2026-06,SA,4,0.1723,propensity_only
CUST1000060,2026-06,MF,3,0.2487,propensity_only
CUST1000063,2026-06,RD,1,0.3887,propensity_only
CUST1000064,2026-06,PL,5,0.2946,propensity_only
CUST1000066,2026-06,SA,5,0.1674,propensity_only
CUST1000067,2026-06,CC,1,0.5367,propensity_only
CUST1000069,2026-06,MF,1,0.7073,propensity_only
CUST1000070,2026-06,CC,1,0.6731,propensity_only
CUST1000071,2026-06,CC,3,0.4003,propensity_only
CUST1000072,2026-06,HL,5,0.2771,propensity_only
CUST1000073,2026-06,CC,1,0.489,propensity_only
CUST1000074,2026-06,SA,2,0.2581,propensity_only
CUST1000076,2026-06,RD,2,0.5029,propensity_only
CUST1000077,2026-06,PL,5,0.2945,propensity_only
CUST1000078,2026-06,MF,4,0.4464,propensity_only
CUST1000079,2026-06,CC,1,0.762,propensity_only
CUST1000081,2026-06,CC,1,0.3479,propensity_only
CUST1000083,2026-06,SA,3,0.2932,propensity_only
CUST1000086,2026-06,PL,2,0.2515,propensity_only
CUST1000087,2026-06,SA,4,0.2006,propensity_only
CUST1000088,2026-06,SA,5,0.1671,propensity_only
CUST1000089,2026-06,SA,5,0.1354,propensity_only
CUST1000091,2026-06,PL,2,0.3571,propensity_only
CUST1000092,2026-06,SA,4,0.1375,propensity_only
CUST1000094,2026-06,SA,4,0.1759,propensity_only
CUST1000095,2026-06,SA,4,0.1412,propensity_only
CUST1000096,2026-06,RD,2,0.2781,propensity_only
CUST1000098,2026-06,SA,4,0.1618,propensity_only
CUST1000099,2026-06,CC,2,0.4081,propensity_only
CUST1000100,2026-06,CC,1,0.6764,propensity_only
CUST1000102,2026-06,SA,3,0.0848,propensity_only
CUST1000104,2026-06,MF,1,0.4746,propensity_only
CUST1000105,2026-06,SA,5,0.1882,propensity_only
CUST1000106,2026-06,SA,5,0.1285,propensity_only
CUST1000107,2026-06,SA,5,0.2173,propensity_only
CUST1000108,2026-06,MF,3,0.143,propensity_only
CUST1000110,2026-06,CC,4,0.2449,propensity_only
CUST1000113,2026-06,SA,5,0.1694,propensity_only
CUST1000114,2026-06,MF,1,0.6306,propensity_only
CUST1000115,2026-06,SA,4,0.106,propensity_only
CUST1000116,2026-06,SA,2,0.2203,propensity_only
CUST1000117,2026-06,HL,4,0.3197,propensity_only
CUST1000118,2026-06,MF,4,0.2401,propensity_only
CUST1000119,2026-06,SA,5,0.1346,propensity_only
CUST1000120,2026-06,HL,3,0.0526,propensity_only
CUST1000121,2026-06,SA,4,0.2366,propensity_only
CUST1000122,2026-06,CC,4,0.1998,propensity_only
CUST1000123,2026-06,SA,1,0.2705,propensity_only
CUST1000124,2026-06,SA,2,0.2621,propensity_only
CUST1000126,2026-06,SA,2,0.3863,propensity_only
CUST1000128,2026-06,CC,1,0.5952,propensity_only
CUST1000130,2026-06,SA,5,0.0144,propensity_only
CUST1000131,2026-06,CC,4,0.3073,propensity_only
CUST1000132,2026-06,SA,5,0.1204,propensity_only
CUST1000133,2026-06,RD,2,0.3826,propensity_only
CUST1000134,2026-06,CC,1,0.5753,propensity_only
CUST1000135,2026-06,SA,5,0.1906,propensity_only
CUST1000136,2026-06,CC,2,0.4455,propensity_only
CUST1000137,2026-06,HL,3,0.333,propensity_only
CUST1000138,2026-06,PL,4,0.1082,propensity_only
CUST1000139,2026-06,SA,5,0.0432,propensity_only
CUST1000142,2026-06,PL,4,0.2425,propensity_only
CUST1000143,2026-06,RD,4,0.2924,propensity_only
CUST1000144,2026-06,PL,4,0.3735,propensity_only
CUST1000146,2026-06,CC,1,0.4314,propensity_only
CUST1000147,2026-06,CC,3,0.3837,propensity_only
CUST1000148,2026-06,MF,5,0.1255,propensity_only
CUST1000150,2026-06,MF,5,0.0416,propensity_only
CUST1000151,2026-06,SA,5,0.2001,propensity_only
CUST1000152,2026-06,RD,5,0.3522,propensity_only
CUST1000153,2026-06,SA,5,0.1652,propensity_only
CUST1000155,2026-06,MF,2,0.4324,propensity_only
CUST1000157,2026-06,SA,4,0.1766,propensity_only
CUST1000158,2026-06,SA,5,0.2157,propensity_only
CUST1000161,2026-06,SA,2,0.2176,propensity_only
CUST1000162,2026-06,MF,2,0.4375,propensity_only
CUST1000165,2026-06,RD,1,0.4151,propensity_only
CUST1000166,2026-06,PL,5,0.1817,propensity_only
CUST1000167,2026-06,SA,2,0.1821,propensity_only
CUST1000168,2026-06,SA,5,0.0949,propensity_only
CUST1000169,2026-06,SA,5,0.1736,propensity_only
CUST1000170,2026-06,MF,5,0.3919,propensity_only
CUST1000171,2026-06,SA,5,0.2155,propensity_only
CUST1000172,2026-06,SA,5,0.1295,propensity_only
CUST1000173,2026-06,MF,5,0.1458,propensity_only
