Customer ID,Month period,CC,HL,MF,PL,RD,SA
CUST1000000,2026-06,0.4409,0.4625,0.5316,0.3422,0.2709,0.066
CUST1000001,2026-06,0.6781,0.6991,0.4336,0.4583,0.2605,0.1214
CUST1000002,2026-06,0.436,0.1062,0.4043,0.2397,0.4587,0.0881
CUST1000003,2026-06,0.3861,0.4846,0.5139,0.3544,0.3138,0.3576
CUST1000004,2026-06,0.1309,0.1411,0.2793,0.4286,0.0417,0.1482
CUST1000005,2026-06,0.5185,0.0668,0.1292,0.2991,0.382,0.0573
CUST1000006,2026-06,0.3014,0.4339,0.451,0.2308,0.3161,0.2226
CUST1000007,2026-06,0.5197,0.2735,0.0604,0.4332,0.4341,0.0548
CUST1000008,2026-06,0.3319,0.01,0.1218,0.0876,0.0372,0.59
CUST1000009,2026-06,0.6061,0.1291,0.1453,0.4735,0.2233,0.2418
CUST1000010,2026-06,0.6834,0.2491,0.4766,0.3805,0.4197,0.0653
CUST1000011,2026-06,0.6271,0.043,0.3618,0.2666,0.3643,0.3337
CUST1000012,2026-06,0.1079,0.2858,0.0614,0.2316,0.2323,0.3098
CUST1000013,2026-06,0.4104,0.3282,0.6167,0.1341,0.5881,0.2182
CUST1000014,2026-06,0.184,0.2025,0.0654,0.5187,0.394,0.1943
CUST1000015,2026-06,0.5114,0.4645,0.386,0.3734,0.2214,0.3546
CUST1000016,2026-06,0.1005,0.2181,0.1615,0.0602,0.3396,0.659
CUST1000017,2026-06,0.4802,0.4185,0.3024,0.3333,0.3491,0.2825
CUST1000018,2026-06,0.4213,0.4444,0.4411,0.3558,0.3497,0.5343
CUST1000019,2026-06,0.3565,0.4265,0.1899,0.4452,0.3791,0.1771
CUST1000020,2026-06,0.5259,0.2988,0.3891,0.5145,0.3778,0.201
CUST1000021,2026-06,0.1723,0.3011,0.1683,0.4762,0.1679,0.1979
CUST1000022,2026-06,0.2711,0.2621,0.0898999999999999,0.3682,0.3065,0.168
CUST1000023,2026-06,0.4255,0.3189,0.4772,0.2234,0.2578,0.0777999999999999
CUST1000024,2026-06,0.3614,0.01,0.238,0.0332,0.2441,0.2534
CUST1000025,2026-06,0.6452,0.3725,0.3771,0.492,0.2799,0.1742
CUST1000026,2026-06,0.4107,0.4767,0.534,0.3451,0.4345,0.3642
CUST1000027,2026-06,0.1619,0.3183,0.0861,0.1935,0.3332,0.0832
CUST1000028,2026-06,0.5583,0.4426,0.4573,0.3184,0.287,0.1331
CUST1000029,2026-06,0.6546,0.278,0.3776,0.2991,0.2781,0.2079
CUST1000030,2026-06,0.3103,0.3499,0.1946,0.2929,0.569,0.2283
CUST1000031,2026-06,0.4834,0.3516,0.7478,0.5312,0.3069,0.1675
CUST1000032,2026-06,0.5752,0.4586,0.1983,0.3968,0.2546,0.5069
CUST1000033,2026-06,0.4197,0.4696,0.3374,0.2771,0.4421,0.1678
CUST1000034,2026-06,0.2576,0.3491,0.3179,0.2877,0.3816,0.2075
CUST1000035,2026-06,0.5971,0.2529,0.2738,0.4607,0.3297,0.1607
CUST1000036,2026-06,0.3819,0.367,0.0537,0.2876,0.2282,0.05
CUST1000037,2026-06,0.1586,0.2314,0.1574,0.2095,0.4414,0.2722
CUST1000038,2026-06,0.4999,0.4886,0.4226,0.2493,0.3314,0.2092
CUST1000039,2026-06,0.3925,0.6063,0.5559,0.3786,0.4357,0.1823
CUST1000040,2026-06,0.5422,0.2426,0.5287,0.4964,0.4458,0.3104
CUST1000041,2026-06,0.6937,0.2276,0.5918,0.4338,0.1621,0.2436
CUST1000042,2026-06,0.5944,0.2322,0.6133,0.4926,0.3358,0.2151
CUST1000043,2026-06,0.0641,0.3207,0.2722,0.3456,0.2221,0.2317
CUST1000044,2026-06,0.3589,0.3929,0.284,0.4045,0.4366,0.1266
CUST1000045,2026-06,0.398,0.3623,0.0635,0.5862,0.3687,0.2145
CUST1000046,2026-06,0.5141,0.1133,0.3959,0.1728,0.1339,0.2241
CUST1000047,2026-06,0.412,0.4815,0.6216,0.3387,0.4708,0.01
CUST1000048,2026-06,0.162,0.2946,0.2386,0.3156,0.3993,0.1694
CUST1000049,2026-06,0.3552,0.0961,0.5382,0.5394,0.6448,0.2863
CUST1000050,2026-06,0.2513,0.1583,0.01,0.2948,0.4992,0.2366
CUST1000051,2026-06,0.6455,0.0764,0.243,0.4312,0.1909,0.0876
CUST1000052,2026-06,0.3755,0.4723,0.1196,0.4668,0.3951,0.1329
CUST1000053,2026-06,0.5354,0.0257,0.1428,0.4909,0.2083,0.1579
CUST1000054,2026-06,0.2033,0.0379,0.118,0.015,0.4299,0.1441
CUST1000055,2026-06,0.4501,0.4859,0.3831,0.2271,0.4335,0.0903
CUST1000056,2026-06,0.4116,0.3736,0.6234,0.4033,0.4008,0.0919
CUST1000057,2026-06,0.5137,0.01,0.202,0.5625,0.1944,0.2292
CUST1000058,2026-06,0.64,0.387,0.3835,0.5351,0.4247,0.1673
CUST1000059,2026-06,0.4875,0.3242,0.2841,0.3862,0.2381,0.1723
CUST1000060,2026-06,0.6309,0.01,0.2487,0.6284,0.2173,0.1842
CUST1000061,2026-06,0.3876,0.4648,0.399,0.3566,0.356,0.0918
CUST1000062,2026-06,0.5253,0.4663,0.4638,0.5111,0.3291,0.1209
CUST1000063,2026-06,0.2263,0.315,0.0942999999999999,0.2187,0.3887,0.1583
CUST1000064,2026-06,0.5384,0.3939,0.4137,0.2946,0.3792,0.1803
CUST1000065,2026-06,0.6528,0.0743999999999999,0.7534,0.1434,0.2421,0.4513
CUST1000066,2026-06,0.3585,0.3766,0.6769,0.3779,0.339,0.1674
CUST1000067,2026-06,0.5367,0.4681,0.4956,0.4434,0.3438,0.1546
CUST1000068,2026-06,0.497,0.3296,0.4659,0.2968,0.5428,0.2029
CUST1000069,2026-06,0.437,0.6365,0.7073,0.1651,0.4261,0.2019
CUST1000070,2026-06,0.6731,0.3306,0.4353,0.4903,0.2546,0.2606
CUST1000071,2026-06,0.4003,0.5016,0.5633,0.2948,0.3888,0.1541
CUST1000072,2026-06,0.6747,0.2771,0.3402,0.4002,0.4674,0.1892
CUST1000073,2026-06,0.489,0.3332,0.6923,0.4139,0.3591,0.1479
CUST1000074,2026-06,0.2673,0.0405,0.1112,0.3886,0.2854,0.2581
CUST1000075,2026-06,0.3581,0.3635,0.2766,0.5935,0.4708,0.01
CUST1000076,2026-06,0.4381,0.465,0.5266,0.4088,0.5029,0.0636
CUST1000077,2026-06,0.5338,0.3357,0.6758,0.2945,0.3132,0.0454
CUST1000078,2026-06,0.6917,0.4272,0.4464,0.6085,0.5909,0.1271
CUST1000079,2026-06,0.762,0.1397,0.3529,0.3807,0.257,0.259
CUST1000080,2026-06,0.5549,0.1048,0.4631,0.2498,0.3569,0.1837
CUST1000081,2026-06,0.3479,0.1605,0.2076,0.2881,0.2026,0.0811
CUST1000082,2026-06,0.1748,0.1159,0.3115,0.2723,0.3327,0.1242
CUST1000083,2026-06,0.5658,0.2457,0.347,0.3133,0.2239,0.2932
CUST1000084,2026-06,0.3399,0.2439,0.3219,0.5055,0.4928,0.2363
CUST1000085,2026-06,0.4766,0.127,0.0761,0.2845,0.3318,0.3009
CUST1000086,2026-06,0.5132,0.044,0.2397,0.2515,0.3585,0.2488
CUST1000087,2026-06,0.537,0.2922,0.3539,0.2936,0.205,0.2006
CUST1000088,2026-06,0.7483,0.4086,0.4269,0.3619,0.3491,0.1671
CUST1000089,2026-06,0.4947,0.513,0.3906,0.2825,0.3825,0.1354
CUST1000090,2026-06,0.2361,0.5658,0.4018,0.5143,0.3514,0.1239
CUST1000091,2026-06,0.385,0.496,0.6343,0.3571,0.342,0.1976
CUST1000092,2026-06,0.1023,0.2541,0.1379,0.2696,0.4464,0.1375
CUST1000093,2026-06,0.4592,0.4481,0.4653,0.6353,0.4464,0.1312
CUST1000094,2026-06,0.269,0.4975,0.2426,0.5635,0.2075,0.1759
CUST1000095,2026-06,0.5738,0.2298,0.3257,0.1223,0.1887,0.1412
CUST1000096,2026-06,0.2604,0.2169,0.2578,0.554,0.2781,0.0787
CUST1000097,2026-06,0.5008,0.3978,0.2839,0.6083,0.4335,0.3107
CUST1000098,2026-06,0.6089,0.1742,0.4706,0.3529,0.1347,0.1618
CUST1000099,2026-06,0.4081,0.2389,0.4081,0.2786,0.5591,0.1048
CUST1000100,2026-06,0.6764,0.2772,0.3533,0.6004,0.3349,0.1518
CUST1000101,2026-06,0.2131,0.2275,0.0697,0.1997,0.2344,0.6805
