model,metric,value,eval_customer_months
propensity_only,hit_rate_at_1,0.20064235783109768,10586
propensity_only,hit_rate_at_2,0.3639712828263745,10586
propensity_only,hit_rate_at_3,0.5599848856980918,10586
propensity_only,hit_rate_at_5,1.0,10586
propensity_only,mrr,0.4471723660180112,10586
propensity_only,mean_target_rank,3.0849234838465898,10586
baseline_digital_txn,hit_rate_at_1,0.2063102210466654,10586
baseline_digital_txn,hit_rate_at_2,0.3932552427734744,10586
baseline_digital_txn,hit_rate_at_3,0.5971093897600604,10586
baseline_digital_txn,hit_rate_at_5,1.0,10586
baseline_digital_txn,mrr,0.4593692927766232,10586
baseline_digital_txn,mean_target_rank,2.985074626865672,10586
segment_affinity,hit_rate_at_1,0.6683355375023616,10586
segment_affinity,hit_rate_at_2,0.8349707160400529,10586
segment_affinity,hit_rate_at_3,0.9290572454184772,10586
segment_affinity,hit_rate_at_5,1.0,10586
segment_affinity,mrr,0.7999669374645759,10586
segment_affinity,mean_target_rank,1.5833175892688456,10586
cooccurrence,hit_rate_at_1,0.47940676365010393,10586
cooccurrence,hit_rate_at_2,0.5840733043642546,10586
cooccurrence,hit_rate_at_3,0.7957679954657094,10586
cooccurrence,hit_rate_at_5,1.0,10586
cooccurrence,mrr,0.6525599848856981,10586
cooccurrence,mean_target_rank,2.156810882297374,10586
hybrid,hit_rate_at_1,0.4707160400529001,10586
hybrid,hit_rate_at_2,0.726525599848857,10586
hybrid,hit_rate_at_3,0.8628377101832609,10586
hybrid,hit_rate_at_5,1.0,10586
hybrid,mrr,0.6759635367466466,10586
hybrid,mean_target_rank,1.987625165312677,10586
