dataset,cluster_id,feature_type,feature,mean,min,p25,median,p75,max,mode_or_top_value,top_value_share,dataset_role,source_label,note,raw_customer_count
Syn_01,0,categorical,City,,,,,,,Pune,0.0722594289742686,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,categorical,Gender,,,,,,,M,0.5136536108980074,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,categorical,Income band (sn),,,,,,,Mass,0.4366252669555661,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,categorical,Lifestage,,,,,,,Single,0.4602624976673785,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,categorical,Occupation,,,,,,,SAL,0.470671172945738,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,categorical,Persona,,,,,,,Young_Professional-Salaried,0.3501005619025897,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,categorical,Preferred channel (sn),,,,,,,Mobile App,0.6199382114495428,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,categorical,Tier Map,,,,,,,Tier 2,0.4361483754587489,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Age,26.48999564577329,18.0,20.0,26.0,31.0,62.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Campaign exposure count 90D (sn),2.560077961392523,0.0,1.0,2.0,3.0,90.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Days since last login (sn),16.984573596798608,0.0,4.0,11.0,23.0,119.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Mobile no.,9000118912.270584,9000000002.0,9000059875.0,9000119455.0,9000178227.0,9000235632.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Monthly income proxy (sn),122985.8007630264,11438.0,65395.0,105913.0,168405.0,1430771.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Products ignored count 90D (sn),0.8135976279831637,0.0,0.0,1.0,1.0,40.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Risk profile score,676.5557859379212,410.0,636.0,680.0,722.0,900.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,digital_Days since last login (sn),16.984573596798608,0.0,4.0,11.0,23.0,119.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
