dataset,model,metric,value,converted_customers,evaluated_conversion_rows,dataset_role,source_label,note,raw_customer_count
Syn_01,Cluster-First kNN,cumulative_hit_rate_at_1,0.3763549564729008,17805,17805,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,Cluster-First kNN,cumulative_hit_rate_at_2,0.6575119348497613,17805,17805,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,Cluster-First kNN,cumulative_hit_rate_at_3,0.8513338949733221,17805,17805,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,Cluster-First kNN,mrr,0.581540765702518,17805,17805,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_02,Cluster-First kNN,cumulative_hit_rate_at_1,0.3038127899939479,9914,9914,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,Cluster-First kNN,cumulative_hit_rate_at_2,0.5669759935444826,9914,9914,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,Cluster-First kNN,cumulative_hit_rate_at_3,0.7732499495662699,9914,9914,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,Cluster-First kNN,mrr,0.504152377109811,9914,9914,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_03,Cluster-First kNN,cumulative_hit_rate_at_1,0.3828264758497317,1118,1118,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,Cluster-First kNN,cumulative_hit_rate_at_2,0.6645796064400715,1118,1118,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,Cluster-First kNN,cumulative_hit_rate_at_3,0.8676207513416816,1118,1118,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,Cluster-First kNN,mrr,0.5913834227787715,1118,1118,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_04,Cluster-First kNN,cumulative_hit_rate_at_1,0.5686773255813954,8256,8256,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,Cluster-First kNN,cumulative_hit_rate_at_2,0.8057170542635659,8256,8256,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,Cluster-First kNN,cumulative_hit_rate_at_3,0.9385901162790696,8256,8256,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,Cluster-First kNN,mrr,0.7314882105943152,8256,8256,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
