dataset,feature_group,feature,method,lower_cap,upper_cap,values_capped_low,values_capped_high,min_before,max_before,min_after,max_after,dataset_role,source_label,note,raw_customer_count
Syn_01,customer_numeric_profile,Age,iqr,4.5,72.5,0,988,18.0,78.0,18.0,72.5,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,customer_numeric_profile,Monthly income proxy (sn),iqr,-195694.5,588861.5,0,14018,11273.0,14484022.0,11273.0,588861.5,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,customer_numeric_profile,Risk profile score,iqr,517.0,925.0,1010,0,410.0,900.0,517.0,900.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,customer_numeric_profile,Days since last login (sn),iqr,-67.0,133.0,0,16087,0.0,180.0,0.0,133.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,customer_numeric_profile,Campaign exposure count 90D (sn),iqr,-2.0,6.0,0,2221,0.0,90.0,0.0,6.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,customer_numeric_profile,Products ignored count 90D (sn),iqr,-1.5,2.5,0,8667,0.0,46.0,0.0,2.5,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,customer_numeric_profile,Mobile no.,iqr,8999882182.0,9000353454.0,0,0,9000000000.0,9000235636.0,9000000000.0,9000235636.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,digital_behavior,digital_Days since last login (sn),iqr,-67.0,133.0,0,16087,0.0,180.0,0.0,133.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,digital_behavior,digital_Login count 30D (sn),iqr,-19.5,32.5,0,854,0.0,120.0,0.0,32.5,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,digital_behavior,digital_Login count 90D (sn),iqr,-14.0,66.0,0,847,0.0,375.0,0.0,66.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,digital_behavior,digital_Preferred login hour (sn),iqr,2.5,30.5,416,0,0.0,23.0,2.5,23.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_Average ticket size,iqr,-36346.37500000001,74677.10500000001,0,21647,100.0,11859029.73,100.0,74677.10500000001,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_Count,iqr,5.0,45.0,14635,839,0.0,61.0,5.0,45.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_99% value,iqr,-90012.19500000002,181907.525,0,22257,0.0,44678698.34,0.0,181907.525,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_Total credit amount (sn),iqr,-588475.51,1171895.29,0,19650,0.0,329246283.58,0.0,1171895.29,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_Total debit amount (sn),iqr,-541170.0549999999,1064385.825,0,23167,0.0,273398858.27,0.0,1064385.825,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_UPI txn count (sn),iqr,-5.0,27.0,0,814,0.0,41.0,0.0,27.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_MCC diversity count (sn),iqr,-2.5,9.5,0,3113,0.0,17.0,0.0,9.5,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
